msg, files, lines, committer_date, 'modified_files'
Use PartitionSpec.unpartitioned() in Spark tests.,2,29,2017-12-22 11:35:16-08:00,"['TestAvroScan.java', 'TestParquetScan.java']"
Add write support to Spark.,4,887,2017-12-22 12:09:33-08:00,"['IcebergSource.java', 'PartitionKey.java', 'Writer.java', 'TestParquetWrite.java']"
"Make Avro id access methods public, add function to create DatumReaders.",6,55,2017-12-22 12:09:33-08:00,"['Avro.java', 'AvroFileAppender.java', 'AvroSchemaUtil.java', 'BuildAvroProjection.java', 'PruneColumns.java', 'SchemaToType.java']"
Implement Avro write path for Spark source.,9,818,2017-12-22 12:09:58-08:00,"['LICENSE', 'NOTICE', 'SparkAvroReader.java', 'SparkAvroWriter.java', 'ValueWriter.java', 'ValueWriters.java', 'Reader.java', 'Writer.java', 'TestDataFrameWrites.java']"
"Fix Parquet writes.

Timestamps now work, but UUID and Fixed are not implemented by Spark's
write support.",2,5,2017-12-22 12:09:58-08:00,"['Writer.java', 'AvroDataTest.java']"
Update build.gradle for 0.1.3.,1,26,2017-12-22 12:09:58-08:00,['build.gradle']
Update TestAvroWrite for Spark 2.3.0.,1,2,2017-12-22 12:09:58-08:00,['TestDataFrameWrites.java']
Minor updates to Parquet and tests.,4,25,2018-01-02 12:06:52-08:00,"['Parquet.java', 'ParquetIterable.java', 'ParquetTypeVisitor.java', 'TestDataFrameWrites.java']"
Update TestParquetWrite to test partitioning.,1,6,2018-01-02 12:15:58-08:00,['TestParquetWrite.java']
Remove decimal types that are not working with Spark 2.3.0.,1,4,2018-01-02 12:15:58-08:00,['AvroDataTest.java']
Add base class for metastore tables.,2,182,2018-01-03 14:00:48-08:00,"['BaseMetastoreTableOperations.java', 'HadoopTables.java']"
Add location to table metadata.,7,53,2018-01-03 14:34:22-08:00,"['BaseMetastoreTableOperations.java', 'TableMetadata.java', 'TableMetadataParser.java', 'HadoopTables.java', 'TestMergeAppend.java', 'TestTableMetadataJson.java', 'TestTables.java']"
Add base class for metastore tables.,1,65,2018-01-03 14:36:49-08:00,['BaseMetastoreTables.java']
Expose table base location in Table interface.,3,15,2018-01-04 10:40:41-08:00,"['Table.java', 'BaseTable.java', 'TableMetadata.java']"
Add TestIcebergSource and allow IcebergSource subclasses.,5,301,2018-01-04 10:40:41-08:00,"['IcebergSource.java', 'Reader.java', 'Writer.java', 'TestIcebergSource.java', 'TestTables.java']"
Add Avro projection test and fix reordered columns.,3,868,2018-01-04 10:40:41-08:00,"['ValueReaders.java', 'TestReadProjection.java', 'TestSparkReadProjection.java']"
Update Javadocs.,215,7061,2018-01-04 10:46:12-08:00,"['allclasses-frame.html', 'allclasses-noframe.html', 'AppendFiles.html', 'BaseMetastoreTableOperations.html', 'BaseMetastoreTables.html', 'BaseTable.html', 'CombinedScanTask.html', 'DataFile.html', 'DataFiles.Builder.html', 'DataFiles.html', 'DeleteFiles.html', 'ExpireSnapshots.html', 'FileFormat.html', 'FileScanTask.html', 'Files.html', 'Filterable.html', 'FilteredManifest.html', 'FilteredSnapshot.html', 'ManifestReader.html', 'Metrics.html', 'PartitionField.html', 'PartitionSpec.Builder.html', 'PartitionSpec.html', 'PartitionSpecParser.html', 'PendingUpdate.html', 'RewriteFiles.html', 'Rollback.html', 'ScanTask.html', 'Schema.html', 'SchemaParser.html', 'Snapshot.html', 'SnapshotParser.html', 'StructLike.html', 'Table.html', 'TableMetadata.html', 'TableMetadataParser.html', 'TableOperations.html', 'TableProperties.html', 'TableScan.html', 'UpdateProperties.html', 'UpdateSchema.html', 'Avro.ReadBuilder.html', 'Avro.WriteBuilder.html', 'Avro.html', 'AvroIterable.html', 'AvroSchemaUtil.html', 'AvroSchemaVisitor.html', 'UUIDConversion.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'DynClasses.Builder.html', 'DynClasses.html', 'DynConstructors.Builder.html', 'DynConstructors.Ctor.html', 'DynConstructors.html', 'DynFields.BoundField.html', 'DynFields.Builder.html', 'DynFields.StaticField.html', 'DynFields.UnboundField.html', 'DynFields.html', 'DynMethods.BoundMethod.html', 'DynMethods.Builder.html', 'DynMethods.StaticMethod.html', 'DynMethods.UnboundMethod.html', 'DynMethods.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'AlreadyExistsException.html', 'CommitFailedException.html', 'NoSuchTableException.html', 'RuntimeIOException.html', 'ValidationException.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'And.html', 'Binder.html', 'BoundPredicate.html', 'BoundReference.html', 'Evaluator.html', 'Expression.Operation.html', 'Expression.html', 'ExpressionVisitors.BoundExpressionVisitor.html', 'ExpressionVisitors.ExpressionVisitor.html', 'ExpressionVisitors.html', 'Expressions.html', 'False.html', 'Literal.html', 'NamedReference.html', 'Not.html', 'Or.html', 'Predicate.html', 'Projections.ProjectionEvaluator.html', 'Projections.html', 'Reference.html', 'ResidualEvaluator.html', 'True.html', 'UnboundPredicate.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'HadoopInputFile.html', 'HadoopOutputFile.html', 'HadoopTables.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'DelegatingInputStream.html', 'DelegatingOutputStream.html', 'FileAppender.html', 'InputFile.html', 'OutputFile.html', 'PositionOutputStream.html', 'SeekableInputStream.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'Parquet.ReadBuilder.html', 'Parquet.WriteBuilder.html', 'Parquet.html', 'ParquetIterable.html', 'ParquetMetrics.html', 'ParquetSchemaUtil.html', 'ParquetTypeVisitor.html', 'ParquetWriteAdapter.html', 'TypeToMessageType.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'PruneColumns.html', 'SparkDataFile.html', 'SparkFilters.html', 'SparkSchemaUtil.html', 'SparkAvroReader.html', 'SparkAvroWriter.html', 'ValueReader.html', 'ValueWriter.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'Hive.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'IcebergSource.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'Transform.html', 'Transforms.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'Comparators.html', 'Conversions.html', 'IndexByName.html', 'Type.NestedType.html', 'Type.PrimitiveType.html', 'Type.TypeID.html', 'Type.html', 'TypeUtil.CustomOrderSchemaVisitor.html', 'TypeUtil.NextID.html', 'TypeUtil.SchemaVisitor.html', 'TypeUtil.html', 'Types.BinaryType.html', 'Types.BooleanType.html', 'Types.DateType.html', 'Types.DecimalType.html', 'Types.DoubleType.html', 'Types.FixedType.html', 'Types.FloatType.html', 'Types.IntegerType.html', 'Types.ListType.html', 'Types.LongType.html', 'Types.MapType.html', 'Types.NestedField.html', 'Types.StringType.html', 'Types.StructType.html', 'Types.TimeType.html', 'Types.TimestampType.html', 'Types.UUIDType.html', 'Types.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'CharSequenceWrapper.html', 'Exceptions.html', 'JsonUtil.html', 'Pair.html', 'Tasks.Builder.html', 'Tasks.FailureTask.html', 'Tasks.Task.html', 'Tasks.UnrecoverableException.html', 'Tasks.html', 'package-frame.html', 'package-summary.html', 'package-tree.html', 'constant-values.html', 'deprecated-list.html', 'help-doc.html', 'index-all.html', 'index.html', 'overview-frame.html', 'overview-summary.html', 'overview-tree.html', 'package-list', 'serialized-form.html']"
Update README build requirements.,1,4,2018-01-04 10:54:38-08:00,['README.md']
Add google group to README.,1,3,2018-01-04 11:15:05-08:00,['README.md']
Evaluate residuals when reading Avro files.,2,169,2018-01-05 15:34:12-08:00,"['SparkFilters.java', 'Reader.java']"
Test Spark filtered scans.,4,451,2018-01-08 13:59:06-08:00,"['BaseTable.java', 'MessageTypeToType.java', 'SparkFilters.java', 'TestFilteredScan.java']"
"Fix Spark filtering by unprojected columns.

Spark does not request filter columns that are handled by the data
source. However, Spark's Parquet read support cannot handle extra
columns that are not projected, nor reordered columns.

In order to request the filter columns that are not projected from the
Parquet file, or certain schemas with reordered columns, the data source
must return a schema that doesn't match the requested Schema:

* Filter columns must be projected even if not requested by Spark
* Reordered columns must be projected in the file's order

Because the order must match the file, files must all use the same
column order. Currently, this is okay because schema evolution does not
expose a way to reorder columns. This may break on existing data files
that used different column orders.",8,515,2018-01-09 13:00:24-08:00,"['Binder.java', 'PruneColumnsWithReordering.java', 'PruneColumnsWithoutReordering.java', 'SparkSchemaUtil.java', 'Reader.java', 'TestFilteredScan.java', 'TestReadProjection.java', 'TestSparkReadProjection.java']"
Update Spark utils and add a table conversion notebook.,4,446,2018-01-10 10:08:12-08:00,"['DataFiles.java', 'Convert table to Iceberg.ipynb', 'Hive.java', 'SparkTableUtil.scala']"
Fix path bug in BaseMetastoreTableOperations.,1,4,2018-01-10 10:38:40-08:00,['BaseMetastoreTableOperations.java']
Add selectNot and join TypeUtil methods.,1,13,2018-01-12 13:25:54-08:00,['TypeUtil.java']
"Add partition spec to FileScanTask.

This is needed to use the partition tuple in the task's DataFile.",5,74,2018-01-12 13:25:54-08:00,"['FileScanTask.java', 'BaseFileScanTask.java', 'BaseTableScan.java', 'PartitionSpecParser.java', 'SchemaParser.java']"
Fix unclosed Parquet files from ParquetIterable.,1,4,2018-01-12 13:25:54-08:00,['ParquetIterable.java']
"Spark: Handle identity partition data when reading.

This commit adds support for identity partitions, where data must be
joined from a file's partition tuple to the final row. When identity
partition columns are projected, the Spark reader will split the
requested schema in two, one with columns from the file and one for the
partition data columns. To ensure the final columns are in the correct
order, this adds an unsafe projection to the requested column order.

This also updates handling for filter columns that are not projected.
Before this commit, filter columns that are not required by Spark were
added to the output rows anyway. Now, filter columns are removed by the
final unsafe projection, but are still loaded from the file for filters
to work.",3,321,2018-01-12 13:25:58-08:00,"['SparkSchemaUtil.java', 'Reader.java', 'TestFilteredScan.java']"
"Spark: Use path instead of iceberg.table.location.

The ""path"" property is set by load and save in Spark, so this works
better with the DataFrameReader and DataFrameWriter APIs.",6,40,2018-01-15 10:37:53-08:00,"['IcebergSource.java', 'TestAvroScan.java', 'TestDataFrameWrites.java', 'TestFilteredScan.java', 'TestParquetScan.java', 'TestParquetWrite.java']"
"Spark: Do not use ImmutableList in WriterCommitMessage.

ImmutableList can't be deserialized by Kryo because Kryo treats it as a
Collection and attempts to add elements to an empty ImmutableList.",1,16,2018-01-18 13:56:09-08:00,['Writer.java']
Ensure the base location is set when writing metadata.,1,4,2018-01-18 13:56:09-08:00,['BaseMetastoreTableOperations.java']
Create OSSMETADATA,1,1,2018-01-18 21:00:03-08:00,['OSSMETADATA']
Add schema compatibility checks.,6,593,2018-01-19 10:36:11-07:00,"['CheckReadability.java', 'Type.java', 'TypeUtil.java', 'Types.java', 'TestReadabilityChecks.java', 'SchemaUpdate.java']"
Spark: Use CheckReadability to validate schemas before writing.,2,17,2018-01-19 16:37:25-07:00,"['IcebergSource.java', 'Writer.java']"
"Spark: Fix conversion from DF schema when writing.

Previously, this used the prune method from the read path, but prune
will complain in cases where writes will succeed. For example, writing
an optional table column from a required Spark field is allowed, but was
caught by column pruning. This updates the schema conversion to convert
to a new schema, then reassign the schema's ids to match the table
schema, then fix up types that are lost because they aren't represented
in Spark (UUID and binary).

This commit also renames ReassignIds to AssignFreshIds, which is more
accurate.",12,484,2018-01-19 16:37:25-07:00,"['AssignFreshIds.java', 'ReassignIds.java', 'Type.java', 'TypeUtil.java', 'TestReadabilityChecks.java', 'SchemaUpdate.java', 'TableMetadata.java', 'FixupTypes.java', 'SparkSchemaUtil.java', 'SparkTypeToType.java', 'IcebergSource.java', 'TestParquetWrite.java']"
Check that fields are in the correct order when validating writes.,3,127,2018-01-19 16:37:25-07:00,"['CheckCompatibility.java', 'TestReadabilityChecks.java', 'IcebergSource.java']"
"Spark: Restore SparkSchemaUtil.convert(StructType).

This is used by Spark to create tables.",1,20,2018-01-22 13:51:43-08:00,['SparkSchemaUtil.java']
"Move ImmutableList to transient fields in types and specs for kryo.

Kryo can't handle immutable variants of Java collections.",2,145,2018-01-22 13:51:48-08:00,"['PartitionSpec.java', 'Types.java']"
"Spark: Support Timestamp and Date filter literals.

Spark passes timestamp and date types as java.sql objects. This uses
Spark's internal methods to convert to a day ordinal or timestamp in
microseconds, then creates filters from those values.

Originally, int/long couldn't be converted to date/timestamp literals to
avoid users accidentally creating bad expressions, but this is the best
way to get the right literals with the internal representation. Adding
support for java.sql objects would complicate the API code with time
zone logic.",3,47,2018-01-22 13:51:55-08:00,"['Literals.java', 'TestMiscLiteralConversions.java', 'SparkFilters.java']"
Fix isNull and notNull predicates with projection.,4,33,2018-01-24 17:05:18-08:00,"['Bucket.java', 'Dates.java', 'Timestamps.java', 'Truncate.java']"
"Support int32- and int64-backed decimals for Parquet.

This updates the schema conversion to use int32 and int64 primitive
types for decimal data stored in Parquet. It also adds int, long, and
fixed conversions for decimals in parquet-avro. Avro's built-in decimal
conversions support fixed, but not int32 or int64. To add support, this
replaces Avro's decimal type with a parquet-avro type with the necessary
conversions.",5,403,2018-01-24 17:05:23-08:00,"['Parquet.java', 'ParquetAvro.java', 'ParquetReadSupport.java', 'TypeToMessageType.java', 'Reader.java']"
"Enable decimal test cases.

These cases were failing before Parquet support for int32 and int64
decimals.",1,4,2018-01-24 17:10:52-08:00,['AvroDataTest.java']
"Assign missing top-level column IDs starting at 1.

When tables are created, the schema ids are reassigned starting at 1.
Starting at 1 to fill in missing top-level column ids ensures that
columns are matched by position.",2,8,2018-01-29 14:12:12-08:00,"['SchemaToType.java', 'MessageTypeToType.java']"
"Metastore operations should write the requested version.

The method writeNewMetadata should rely on the caller to increment the
metadata version. This was causing double-incrementing.",1,2,2018-01-29 14:12:12-08:00,['BaseMetastoreTableOperations.java']
Add gitignore (#2),1,6,2018-01-31 15:09:46-08:00,['.gitignore']
Always clean up manifests when committing.,2,5,2018-02-08 13:46:59-08:00,"['SnapshotUpdate.java', 'Tasks.java']"
"Fix minor problems with table conversion helpers.

* Ignore hidden files
* Fix table name passed to schema method when building a partition spec",2,9,2018-02-08 13:46:59-08:00,"['SparkSchemaUtil.java', 'SparkTableUtil.scala']"
Fix SparkTableUtil referencing non-existent HiddenFileFilter.,1,14,2018-02-09 15:59:55-08:00,['SparkTableUtil.scala']
Close files used to get Parquet file metrics.,1,4,2018-02-12 11:16:20-08:00,['ParquetMetrics.java']
Add metrics accessor to FileAppender.,5,74,2018-02-12 13:10:54-08:00,"['FileAppender.java', 'AvroFileAppender.java', 'ManifestWriter.java', 'ParquetWriteAdapter.java', 'Writer.java']"
Use minimal Parquet metrics until ParquetWriter's getFooter is released.,1,9,2018-02-12 13:16:13-08:00,['ParquetWriteAdapter.java']
Defensively copy Spark values in partition keys.,2,38,2018-02-13 13:08:13-08:00,"['PartitionKey.java', 'Writer.java']"
Add logging for job commit.,2,8,2018-02-16 10:42:02-08:00,"['Writer.java', 'TestParquetWrite.java']"
Remove distinct counts from metrics.,8,60,2018-02-16 10:47:55-08:00,"['DataFile.java', 'Metrics.java', 'AvroFileAppender.java', 'DataFiles.java', 'GenericDataFile.java', 'ParquetMetrics.java', 'ParquetWriteAdapter.java', 'SparkTableUtil.scala']"
Enforce decimal precision <= 38.,1,2,2018-02-16 10:52:46-08:00,['Types.java']
Remove timetz type.,15,168,2018-02-16 11:12:26-08:00,"['Literals.java', 'Types.java', 'TestLiteralSerialization.java', 'TestMiscLiteralConversions.java', 'TestStringLiteralConversions.java', 'TestBucketing.java', 'TestIdentity.java', 'TestTransformSerialization.java', 'TestReadabilityChecks.java', 'TestSerializableTypes.java', 'SchemaToType.java', 'TypeToSchema.java', 'TestSchemaConversions.java', 'TestSchemaUpdate.java', 'MessageTypeToType.java']"
Support scanning manifest files in parallel.,5,255,2018-02-16 15:34:47-08:00,"['BaseTableScan.java', 'ExceptionUtil.java', 'ParallelIterable.java', 'Tasks.java', 'ThreadPools.java']"
FastAppend: add new manifests to the start of a snapshot.,1,2,2018-02-20 13:11:45-08:00,['FastAppend.java']
